epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,14251.6,0.91066,0.7168,1.3075,0.71376,0.72023,0.73577,0.48728,1.17461,0.84248,1.63942,0.000208349,0.000208349,0.000208349
63,14480.8,0.90965,0.69205,1.29336,0.7626,0.7048,0.75913,0.5016,1.19015,0.81378,1.67627,0.000203141,0.000203141,0.000203141
64,14710.3,0.8974,0.68461,1.29228,0.7086,0.70638,0.74028,0.48477,1.19084,0.82132,1.65769,0.000197934,0.000197934,0.000197934
65,14939.5,0.90584,0.67133,1.28741,0.70228,0.73002,0.73787,0.48381,1.20177,0.81532,1.64441,0.000192726,0.000192726,0.000192726
66,15168.8,0.87616,0.65667,1.27423,0.77368,0.6711,0.73608,0.47985,1.1952,0.82839,1.65923,0.000187519,0.000187519,0.000187519
67,15397.9,0.88028,0.66587,1.27661,0.77919,0.70948,0.75136,0.49896,1.18415,0.79946,1.65892,0.000182312,0.000182312,0.000182312
68,15627,0.87732,0.66166,1.27091,0.82866,0.70679,0.78132,0.50793,1.19286,0.79873,1.66877,0.000177104,0.000177104,0.000177104
69,15856.5,0.8586,0.63876,1.25537,0.77095,0.71363,0.76736,0.49617,1.21372,0.81024,1.68298,0.000171897,0.000171897,0.000171897
70,16085.6,0.86454,0.63627,1.25661,0.82609,0.70152,0.78311,0.50901,1.20071,0.81312,1.68968,0.000166689,0.000166689,0.000166689
71,16315.3,0.84401,0.62955,1.24443,0.80097,0.72505,0.7888,0.51119,1.19793,0.7629,1.68168,0.000161482,0.000161482,0.000161482
72,16544.7,0.8477,0.62678,1.2515,0.82653,0.71458,0.79171,0.51166,1.18851,0.79042,1.67667,0.000156275,0.000156275,0.000156275
73,16774.2,0.83298,0.61101,1.23475,0.83853,0.72867,0.79961,0.5215,1.19608,0.75898,1.68724,0.000151067,0.000151067,0.000151067
74,17003.9,0.8201,0.60618,1.23363,0.85113,0.71254,0.80778,0.5187,1.19389,0.76121,1.70097,0.00014586,0.00014586,0.00014586
75,17232.9,0.82018,0.6004,1.22746,0.82331,0.72596,0.78289,0.49839,1.20758,0.80763,1.69709,0.000140652,0.000140652,0.000140652
76,17462.1,0.80895,0.59001,1.21453,0.8051,0.70214,0.77288,0.50228,1.19983,0.79121,1.69712,0.000135445,0.000135445,0.000135445
77,17691.2,0.81015,0.58949,1.2262,0.8646,0.68504,0.77325,0.50261,1.20285,0.79069,1.69519,0.000130238,0.000130238,0.000130238
78,17920.3,0.80544,0.57239,1.2165,0.81271,0.73774,0.78064,0.50603,1.20215,0.78562,1.70149,0.00012503,0.00012503,0.00012503
79,18149.5,0.79496,0.57474,1.20825,0.8288,0.72899,0.78754,0.51021,1.19643,0.7768,1.70358,0.000119823,0.000119823,0.000119823
80,18378.7,0.8007,0.56523,1.21904,0.82811,0.74025,0.78038,0.50415,1.19626,0.77182,1.70261,0.000114615,0.000114615,0.000114615
81,18607.8,0.79103,0.56709,1.20664,0.81702,0.71943,0.7985,0.51336,1.2057,0.7665,1.71593,0.000109408,0.000109408,0.000109408
82,18837,0.78459,0.54995,1.20255,0.81598,0.70097,0.75954,0.50103,1.20271,0.77226,1.71282,0.000104201,0.000104201,0.000104201
83,19066.1,0.78425,0.55255,1.20014,0.84344,0.71526,0.78721,0.51398,1.19672,0.74973,1.71707,9.89932e-05,9.89932e-05,9.89932e-05
84,19295.3,0.77245,0.54832,1.19842,0.83137,0.75616,0.81554,0.53069,1.20307,0.75196,1.72021,9.37858e-05,9.37858e-05,9.37858e-05
85,19524.7,0.77048,0.5366,1.19317,0.83723,0.75445,0.82118,0.53069,1.1996,0.73191,1.72125,8.85784e-05,8.85784e-05,8.85784e-05
86,19754.2,0.75588,0.52994,1.18837,0.88232,0.71131,0.79583,0.52846,1.20662,0.76867,1.72347,8.3371e-05,8.3371e-05,8.3371e-05
87,19983.3,0.75365,0.53048,1.17786,0.81748,0.75608,0.80292,0.52094,1.21155,0.77613,1.74699,7.81636e-05,7.81636e-05,7.81636e-05
88,20212.3,0.75252,0.52765,1.17724,0.8435,0.74273,0.8087,0.52988,1.20288,0.77368,1.74199,7.29562e-05,7.29562e-05,7.29562e-05
